Input.sentence0,Input.question0,Input.Q0-Name1,Input.Q0-Name2,Input.sentence1,Input.question1,Input.Q1-Name1,Input.Q1-Name2,Input.sentence2,Input.question2,Input.Q2-Name1,Input.Q2-Name2,Input.sentence3,Input.question3,Input.Q3-Name1,Input.Q3-Name2,Input.sentence4,Input.question4,Input.Q4-Name1,Input.Q4-Name2,Input.sentence5,Input.question5,Input.Q5-Name1,Input.Q5-Name2,Input.sentence6,Input.question6,Input.Q6-Name1,Input.Q6-Name2,Input.sentence7,Input.question7,Input.Q7-Name1,Input.Q7-Name2,Input.sentence8,Input.question8,Input.Q8-Name1,Input.Q8-Name2,Input.sentence9,Input.question9,Input.Q9-Name1,Input.Q9-Name2,Answer.Q0,Answer.Q1,Answer.Q2,Answer.Q3,Answer.Q4,Answer.Q5,Answer.Q6,Answer.Q7,Answer.Q8,Answer.Q9,Answer.native
"Matthew sang Joshua a beautiful song after he watched a movie.
",Who watched a movie?,Matthew,Joshua,"The son told Robert that Brian relied on him.
",Who did Brian rely on?,the son,Robert,"Kimberly told the aunt that she concerned the granddaughter.
",Who concerned the granddaughter?,Kimberly,the aunt,"The son told Robert that Brian horrified him.
",Who did Brian horrify?,the son,Robert,"Matthew sent Joshua the report before he left the computer lab.
",Who left the computer lab?,Matthew,Joshua,"Kimberly was told by the aunt that she chatted with the granddaughter.
",Who chatted with the granddaughter?,Kimberly,the aunt,"Matthew was lent a sports car by Joshua before he went abroad.
",Who went abroad?,Matthew,Joshua,"The sister-in-law told Amanda that she mocked the client.
",Who mocked the client?,the sister-in-law,Amanda,"The sister-in-law was told by Amanda that she updated the client.
",Who updated the client?,the sister-in-law,Amanda,"Matthew was emailed by Joshua because he was looking for suggestions.
",Who was looking for suggestions?,Matthew,Joshua,def-Q0-Name1,def-Q1-Name2,def-Q2-Name1,prob-Q3-Name2,def-Q4-Name1,prob-Q5-Name2,def-Q6-Name1,prob-Q7-Name1,def-Q8-Name2,prob-Q9-Name1,yes
"Matthew sang Joshua a beautiful song after he watched a movie.
",Who watched a movie?,Matthew,Joshua,"The son told Robert that Brian relied on him.
",Who did Brian rely on?,the son,Robert,"Kimberly told the aunt that she concerned the granddaughter.
",Who concerned the granddaughter?,Kimberly,the aunt,"The son told Robert that Brian horrified him.
",Who did Brian horrify?,the son,Robert,"Matthew sent Joshua the report before he left the computer lab.
",Who left the computer lab?,Matthew,Joshua,"Kimberly was told by the aunt that she chatted with the granddaughter.
",Who chatted with the granddaughter?,Kimberly,the aunt,"Matthew was lent a sports car by Joshua before he went abroad.
",Who went abroad?,Matthew,Joshua,"The sister-in-law told Amanda that she mocked the client.
",Who mocked the client?,the sister-in-law,Amanda,"The sister-in-law was told by Amanda that she updated the client.
",Who updated the client?,the sister-in-law,Amanda,"Matthew was emailed by Joshua because he was looking for suggestions.
",Who was looking for suggestions?,Matthew,Joshua,Ambiguous,Ambiguous,Ambiguous,def-Q3-Name1,Ambiguous,def-Q5-Name2,prob-Q6-Name2,def-Q7-Name1,def-Q8-Name2,prob-Q9-Name2,yes
"Matthew sang Joshua a beautiful song after he watched a movie.
",Who watched a movie?,Matthew,Joshua,"The son told Robert that Brian relied on him.
",Who did Brian rely on?,the son,Robert,"Kimberly told the aunt that she concerned the granddaughter.
",Who concerned the granddaughter?,Kimberly,the aunt,"The son told Robert that Brian horrified him.
",Who did Brian horrify?,the son,Robert,"Matthew sent Joshua the report before he left the computer lab.
",Who left the computer lab?,Matthew,Joshua,"Kimberly was told by the aunt that she chatted with the granddaughter.
",Who chatted with the granddaughter?,Kimberly,the aunt,"Matthew was lent a sports car by Joshua before he went abroad.
",Who went abroad?,Matthew,Joshua,"The sister-in-law told Amanda that she mocked the client.
",Who mocked the client?,the sister-in-law,Amanda,"The sister-in-law was told by Amanda that she updated the client.
",Who updated the client?,the sister-in-law,Amanda,"Matthew was emailed by Joshua because he was looking for suggestions.
",Who was looking for suggestions?,Matthew,Joshua,prob-Q0-Name1,Ambiguous,def-Q2-Name1,def-Q3-Name1,prob-Q4-Name1,prob-Q5-Name2,def-Q6-Name2,def-Q7-Name1,def-Q8-Name2,Ambiguous,yes
"The sister-in-law was told by Amanda that she tricked the client.
",Who tricked the client?,the sister-in-law,Amanda,"Matthew sang Joshua a short piece before he had dinner.
",Who had dinner?,Matthew,Joshua,"Matthew was emailed by Joshua because he is attending a conference next week.
",Who is attending a conference next week?,Matthew,Joshua,"The sister-in-law was called by Amanda because she is flying abroad soon.
",Who is flying abroad soon?,the sister-in-law,Amanda,"Matthew was passed the ball by Joshua before he got to an excellent shooting position.
",Who got to an excellent shooting position?,Matthew,Joshua,"The son told Robert that he enthused Brian.
",Who enthused Brian?,the son,Robert,"Matthew was told by Joshua that the client concerned him.
",Who did the client concern?,Matthew,Joshua,"William was told by Joshua that he cursed the saleswoman.
",Who cursed the saleswoman?,William,Joshua,"The sister-in-law texted Amanda because she is flying abroad soon.
",Who is flying abroad soon?,the sister-in-law,Amanda,"The sister-in-law gave Amanda a sticker after she asked for one.
",Who asked for one?,the sister-in-law,Amanda,def-Q0-Name2,prob-Q1-Name2,prob-Q2-Name1,prob-Q3-Name1,prob-Q4-Name1,def-Q5-Name2,def-Q6-Name2,def-Q7-Name2,prob-Q8-Name1,def-Q9-Name2,yes
"The sister-in-law was told by Amanda that she tricked the client.
",Who tricked the client?,the sister-in-law,Amanda,"Matthew sang Joshua a short piece before he had dinner.
",Who had dinner?,Matthew,Joshua,"Matthew was emailed by Joshua because he is attending a conference next week.
",Who is attending a conference next week?,Matthew,Joshua,"The sister-in-law was called by Amanda because she is flying abroad soon.
",Who is flying abroad soon?,the sister-in-law,Amanda,"Matthew was passed the ball by Joshua before he got to an excellent shooting position.
",Who got to an excellent shooting position?,Matthew,Joshua,"The son told Robert that he enthused Brian.
",Who enthused Brian?,the son,Robert,"Matthew was told by Joshua that the client concerned him.
",Who did the client concern?,Matthew,Joshua,"William was told by Joshua that he cursed the saleswoman.
",Who cursed the saleswoman?,William,Joshua,"The sister-in-law texted Amanda because she is flying abroad soon.
",Who is flying abroad soon?,the sister-in-law,Amanda,"The sister-in-law gave Amanda a sticker after she asked for one.
",Who asked for one?,the sister-in-law,Amanda,prob-Q0-Name1,prob-Q1-Name1,prob-Q2-Name1,prob-Q3-Name1,prob-Q4-Name2,Ambiguous,def-Q6-Name1,prob-Q7-Name1,def-Q8-Name1,prob-Q9-Name1,yes
"The sister-in-law was told by Amanda that she tricked the client.
",Who tricked the client?,the sister-in-law,Amanda,"Matthew sang Joshua a short piece before he had dinner.
",Who had dinner?,Matthew,Joshua,"Matthew was emailed by Joshua because he is attending a conference next week.
",Who is attending a conference next week?,Matthew,Joshua,"The sister-in-law was called by Amanda because she is flying abroad soon.
",Who is flying abroad soon?,the sister-in-law,Amanda,"Matthew was passed the ball by Joshua before he got to an excellent shooting position.
",Who got to an excellent shooting position?,Matthew,Joshua,"The son told Robert that he enthused Brian.
",Who enthused Brian?,the son,Robert,"Matthew was told by Joshua that the client concerned him.
",Who did the client concern?,Matthew,Joshua,"William was told by Joshua that he cursed the saleswoman.
",Who cursed the saleswoman?,William,Joshua,"The sister-in-law texted Amanda because she is flying abroad soon.
",Who is flying abroad soon?,the sister-in-law,Amanda,"The sister-in-law gave Amanda a sticker after she asked for one.
",Who asked for one?,the sister-in-law,Amanda,def-Q0-Name2,prob-Q1-Name2,def-Q2-Name2,prob-Q3-Name2,def-Q4-Name2,def-Q5-Name1,def-Q6-Name2,def-Q7-Name2,def-Q8-Name1,def-Q9-Name2,yes
"The sister-in-law left a note for Amanda because she was looking for suggestions.
",Who was looking for suggestions?,the sister-in-law,Amanda,"The sister-in-law was given a pencil by Amanda after she asked for something to write with.
",Who asked for something to write with?,the sister-in-law,Amanda,"Matthew made Joshua a square pizza before he submitted the order.
",Who submitted the order?,Matthew,Joshua,"Matthew left a voicemail for Joshua because he had a story to tell.
",Who had a story to tell?,Matthew,Joshua,"Kimberly was told by the aunt that she amazed the granddaughter.
",Who amazed the granddaughter?,Kimberly,the aunt,"Matthew was told by Joshua that the client deified him.
",Who did the client deify?,Matthew,Joshua,"Matthew was told by Joshua that the client feared him.
",Who did the client fear?,Matthew,Joshua,"Matthew was told by Joshua that he offended the client.
",Who offended the client?,Matthew,Joshua,"Melissa was told by Jennifer that the father-in-law mistrusted her.
",Who did the father-in-law mistrust?,Melissa,Jennifer,"The sister-in-law told Amanda that she interviewed the client.
",Who interviewed the client?,the sister-in-law,Amanda,prob-Q0-Name1,def-Q1-Name1,prob-Q2-Name2,prob-Q3-Name2,prob-Q4-Name1,prob-Q5-Name1,prob-Q6-Name1,prob-Q7-Name1,Ambiguous,prob-Q9-Name1,yes
"The sister-in-law left a note for Amanda because she was looking for suggestions.
",Who was looking for suggestions?,the sister-in-law,Amanda,"The sister-in-law was given a pencil by Amanda after she asked for something to write with.
",Who asked for something to write with?,the sister-in-law,Amanda,"Matthew made Joshua a square pizza before he submitted the order.
",Who submitted the order?,Matthew,Joshua,"Matthew left a voicemail for Joshua because he had a story to tell.
",Who had a story to tell?,Matthew,Joshua,"Kimberly was told by the aunt that she amazed the granddaughter.
",Who amazed the granddaughter?,Kimberly,the aunt,"Matthew was told by Joshua that the client deified him.
",Who did the client deify?,Matthew,Joshua,"Matthew was told by Joshua that the client feared him.
",Who did the client fear?,Matthew,Joshua,"Matthew was told by Joshua that he offended the client.
",Who offended the client?,Matthew,Joshua,"Melissa was told by Jennifer that the father-in-law mistrusted her.
",Who did the father-in-law mistrust?,Melissa,Jennifer,"The sister-in-law told Amanda that she interviewed the client.
",Who interviewed the client?,the sister-in-law,Amanda,Ambiguous,def-Q1-Name1,Ambiguous,prob-Q3-Name1,prob-Q4-Name1,prob-Q5-Name1,prob-Q6-Name1,prob-Q7-Name1,prob-Q8-Name1,prob-Q9-Name1,yes
"The sister-in-law left a note for Amanda because she was looking for suggestions.
",Who was looking for suggestions?,the sister-in-law,Amanda,"The sister-in-law was given a pencil by Amanda after she asked for something to write with.
",Who asked for something to write with?,the sister-in-law,Amanda,"Matthew made Joshua a square pizza before he submitted the order.
",Who submitted the order?,Matthew,Joshua,"Matthew left a voicemail for Joshua because he had a story to tell.
",Who had a story to tell?,Matthew,Joshua,"Kimberly was told by the aunt that she amazed the granddaughter.
",Who amazed the granddaughter?,Kimberly,the aunt,"Matthew was told by Joshua that the client deified him.
",Who did the client deify?,Matthew,Joshua,"Matthew was told by Joshua that the client feared him.
",Who did the client fear?,Matthew,Joshua,"Matthew was told by Joshua that he offended the client.
",Who offended the client?,Matthew,Joshua,"Melissa was told by Jennifer that the father-in-law mistrusted her.
",Who did the father-in-law mistrust?,Melissa,Jennifer,"The sister-in-law told Amanda that she interviewed the client.
",Who interviewed the client?,the sister-in-law,Amanda,Ambiguous,prob-Q1-Name2,prob-Q2-Name1,prob-Q3-Name2,prob-Q4-Name1,prob-Q5-Name1,Ambiguous,Ambiguous,prob-Q8-Name2,prob-Q9-Name1,yes
"The sister-in-law called Amanda because she wanted to apologize.
",Who wanted to apologize?,the sister-in-law,Amanda,"Matthew left a voicemail for Joshua because he is leaving the town soon.
",Who is leaving the town soon?,Matthew,Joshua,"The son was told by Robert that he disgruntled Brian.
",Who disgruntled Brian?,the son,Robert,"William was told by Joshua that he admired the saleswoman.
",Who admired the saleswoman?,William,Joshua,"Kimberly told the aunt that she fascinated the granddaughter.
",Who fascinated the granddaughter?,Kimberly,the aunt,"Matthew was played a video by Joshua after he asked for an extension.
",Who asked for an extension?,Matthew,Joshua,"Matthew asked Joshua a question after he started accepting questions.
",Who started accepting questions?,Matthew,Joshua,"The sister-in-law wrote a letter to Amanda because she wanted to apologize.
",Who wanted to apologize?,the sister-in-law,Amanda,"Melissa was told by Jennifer that she bumped into the father-in-law.
",Who bumped into the father-in-law?,Melissa,Jennifer,"Matthew told Joshua that he tired the client.
",Who tired the client?,Matthew,Joshua,prob-Q0-Name1,prob-Q1-Name1,Ambiguous,Ambiguous,prob-Q4-Name2,prob-Q5-Name1,prob-Q6-Name2,Ambiguous,prob-Q8-Name2,prob-Q9-Name1,yes
"The sister-in-law called Amanda because she wanted to apologize.
",Who wanted to apologize?,the sister-in-law,Amanda,"Matthew left a voicemail for Joshua because he is leaving the town soon.
",Who is leaving the town soon?,Matthew,Joshua,"The son was told by Robert that he disgruntled Brian.
",Who disgruntled Brian?,the son,Robert,"William was told by Joshua that he admired the saleswoman.
",Who admired the saleswoman?,William,Joshua,"Kimberly told the aunt that she fascinated the granddaughter.
",Who fascinated the granddaughter?,Kimberly,the aunt,"Matthew was played a video by Joshua after he asked for an extension.
",Who asked for an extension?,Matthew,Joshua,"Matthew asked Joshua a question after he started accepting questions.
",Who started accepting questions?,Matthew,Joshua,"The sister-in-law wrote a letter to Amanda because she wanted to apologize.
",Who wanted to apologize?,the sister-in-law,Amanda,"Melissa was told by Jennifer that she bumped into the father-in-law.
",Who bumped into the father-in-law?,Melissa,Jennifer,"Matthew told Joshua that he tired the client.
",Who tired the client?,Matthew,Joshua,def-Q0-Name1,Ambiguous,Ambiguous,prob-Q3-Name2,Ambiguous,Ambiguous,def-Q6-Name2,def-Q7-Name1,prob-Q8-Name2,Ambiguous,yes
"The sister-in-law called Amanda because she wanted to apologize.
",Who wanted to apologize?,the sister-in-law,Amanda,"Matthew left a voicemail for Joshua because he is leaving the town soon.
",Who is leaving the town soon?,Matthew,Joshua,"The son was told by Robert that he disgruntled Brian.
",Who disgruntled Brian?,the son,Robert,"William was told by Joshua that he admired the saleswoman.
",Who admired the saleswoman?,William,Joshua,"Kimberly told the aunt that she fascinated the granddaughter.
",Who fascinated the granddaughter?,Kimberly,the aunt,"Matthew was played a video by Joshua after he asked for an extension.
",Who asked for an extension?,Matthew,Joshua,"Matthew asked Joshua a question after he started accepting questions.
",Who started accepting questions?,Matthew,Joshua,"The sister-in-law wrote a letter to Amanda because she wanted to apologize.
",Who wanted to apologize?,the sister-in-law,Amanda,"Melissa was told by Jennifer that she bumped into the father-in-law.
",Who bumped into the father-in-law?,Melissa,Jennifer,"Matthew told Joshua that he tired the client.
",Who tired the client?,Matthew,Joshua,def-Q0-Name1,def-Q1-Name1,def-Q2-Name1,def-Q3-Name2,prob-Q4-Name2,prob-Q5-Name1,def-Q6-Name2,def-Q7-Name1,def-Q8-Name2,def-Q9-Name2,yes
